CBG,City,High_Edu_Pop,Education_Level
518100460121,Virginia Beach city,944,Highest
518100460122,Virginia Beach city,294,Medium
518100460123,Virginia Beach city,143,Low
518100460124,Virginia Beach city,146,Low
518100460131,Virginia Beach city,437,High
518100460132,Virginia Beach city,311,Medium
518100460133,Virginia Beach city,78,Lowest
518100460141,Virginia Beach city,560,Highest
518100460142,Virginia Beach city,163,Low
518100460143,Virginia Beach city,540,Highest
518100460151,Virginia Beach city,270,Medium
518100460152,Virginia Beach city,322,High
518100460153,Virginia Beach city,157,Low
518100460154,Virginia Beach city,122,Low
518100460161,Virginia Beach city,1288,Highest
518100462041,Virginia Beach city,558,Highest
518100462042,Virginia Beach city,382,High
518100462061,Virginia Beach city,94,Lowest
518100462062,Virginia Beach city,738,Highest
518100462063,Virginia Beach city,422,High
518100462064,Virginia Beach city,121,Low
518100462071,Virginia Beach city,918,Highest
518100462072,Virginia Beach city,286,Medium
518100462073,Virginia Beach city,526,Highest
518100462111,Virginia Beach city,232,Medium
518100462112,Virginia Beach city,298,Medium
518100462113,Virginia Beach city,170,Low
518100462114,Virginia Beach city,157,Low
518100462121,Virginia Beach city,803,Highest
518100462122,Virginia Beach city,191,Low
518100462123,Virginia Beach city,343,High
518100462131,Virginia Beach city,358,High
518100462132,Virginia Beach city,80,Lowest
518100462133,Virginia Beach city,543,Highest
518100462134,Virginia Beach city,257,Medium
518100462141,Virginia Beach city,422,High
518100462142,Virginia Beach city,210,Medium
518100462143,Virginia Beach city,283,Medium
518100462144,Virginia Beach city,356,High
518100462161,Virginia Beach city,492,Highest
518100462162,Virginia Beach city,467,High
518100462163,Virginia Beach city,550,Highest
518100462171,Virginia Beach city,362,High
518100462172,Virginia Beach city,1222,Highest
518100462191,Virginia Beach city,509,Highest
518100462192,Virginia Beach city,404,High
518100462201,Virginia Beach city,401,High
518100462202,Virginia Beach city,283,Medium
518100462203,Virginia Beach city,171,Low
518100462211,Virginia Beach city,180,Low
518100462212,Virginia Beach city,110,Lowest
518100462213,Virginia Beach city,219,Medium
518100462221,Virginia Beach city,295,Medium
518100462222,Virginia Beach city,191,Low
518100462223,Virginia Beach city,266,Medium
518100462224,Virginia Beach city,338,High
518100462225,Virginia Beach city,130,Low
518100462231,Virginia Beach city,338,High
518100462232,Virginia Beach city,167,Low
518100462233,Virginia Beach city,260,Medium
518100462241,Virginia Beach city,306,Medium
518100462242,Virginia Beach city,382,High
518100462243,Virginia Beach city,202,Medium
518100462251,Virginia Beach city,345,High
518100462252,Virginia Beach city,156,Low
518100462253,Virginia Beach city,346,High
518100464001,Virginia Beach city,206,Medium
518100464002,Virginia Beach city,206,Medium
518100464003,Virginia Beach city,184,Low
518100464004,Virginia Beach city,73,Lowest
518109901000,Virginia Beach city,0,Lowest
